Percentile_Label,Threshold_Value,Dataset,Target,Metric,Type,r,p_value,Bins,Min_Cnt,Control
p15,0.0214,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.8789644148933996,1.7221566715804917e-88,N/A,N/A,None
p15,0.0214,xcodeeval_code_translation,Score,lm_cc,Partial,-0.22456942151983691,0.5613037558103391,9,54,loc
p15,0.0214,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.9500000000000001,8.762523965086185e-05,9,59,None
p15,0.0214,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.1927477698609709,0.6192918649953221,9,54,loc
p15,0.0214,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.75,0.019942126131992536,9,57,None
p15,0.0214,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9639391469047608,1.327313698226638e-308,N/A,N/A,None
p20,0.0335,humaneval,Score,lm_cc,Partial,0.3465902519336509,0.2963970619523814,11,14,loc
p20,0.0335,humaneval,Score,lm_cc,Zero-Order,-0.6483283661306748,0.058940202223639146,9,17,None
p20,0.0335,humaneval,Score,num_semantic_units,Partial,0.21380899352993915,0.5806854885646507,9,17,loc
p20,0.0335,humaneval,Score,num_semantic_units,Zero-Order,-0.8681558508014494,0.002402853569196085,9,17,None
p20,0.0335,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9657064584903481,1.2961131871281385e-95,N/A,N/A,None
p20,0.0335,xcodeeval_apr,Score,lm_cc,Partial,-0.5584935041251076,0.0933432898816218,10,26,loc
p20,0.0335,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9666666666666667,2.1550312748357717e-05,9,28,None
p20,0.0335,xcodeeval_apr,Score,num_semantic_units,Partial,-0.3646717047501965,0.27017246843704823,11,23,loc
p20,0.0335,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9240164263936983,0.00013295265816009046,10,27,None
p20,0.0335,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.8737630416439822,3.4235890536183586e-86,N/A,N/A,None
p20,0.0335,xcodeeval_code_translation,Score,lm_cc,Partial,-0.22456942151983691,0.5613037558103391,9,54,loc
p20,0.0335,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.9500000000000001,8.762523965086185e-05,9,59,None
p20,0.0335,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.1927477698609709,0.6192918649953221,9,54,loc
p20,0.0335,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.75,0.019942126131992536,9,57,None
p20,0.0335,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9639244732760012,1.4763921336784656e-308,N/A,N/A,None
p25,0.0483,humaneval,Score,lm_cc,Partial,0.3354581903391394,0.3132107441180811,11,14,loc
p25,0.0483,humaneval,Score,lm_cc,Zero-Order,-0.7362302068071114,0.0237067581048949,9,17,None
p25,0.0483,humaneval,Score,num_semantic_units,Partial,0.20166438638445122,0.5520904077259821,11,14,loc
p25,0.0483,humaneval,Score,num_semantic_units,Zero-Order,-0.9449491872362122,0.00012210510260447235,9,17,None
p25,0.0483,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9651461962273132,4.634631780801147e-95,N/A,N/A,None
p25,0.0483,xcodeeval_apr,Score,lm_cc,Partial,-0.7151762341606324,0.020072088776270477,10,27,loc
p25,0.0483,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9833333333333333,1.936196303745927e-06,9,29,None
p25,0.0483,xcodeeval_apr,Score,num_semantic_units,Partial,-0.24102410233426003,0.4752546484926747,11,24,loc
p25,0.0483,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.8909090909090909,0.0005421442248338668,10,25,None
p25,0.0483,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.8722897323237292,1.4690801655879716e-85,N/A,N/A,None
p25,0.0483,xcodeeval_code_translation,Score,lm_cc,Partial,-0.21203095109940853,0.5839110072631194,9,54,loc
p25,0.0483,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.9333333333333332,0.00023589981215941651,9,59,None
p25,0.0483,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.15909677294775962,0.6826495677719555,9,54,loc
p25,0.0483,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.7364081197050363,0.023655352808501486,9,59,None
p25,0.0483,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9640941460932918,4.300180424332633e-309,N/A,N/A,None
p30,0.0675,humaneval,Score,lm_cc,Partial,0.3354581903391394,0.3132107441180811,11,14,loc
p30,0.0675,humaneval,Score,lm_cc,Zero-Order,-0.7362302068071114,0.0237067581048949,9,17,None
p30,0.0675,humaneval,Score,num_semantic_units,Partial,0.20166438638445122,0.5520904077259821,11,14,loc
p30,0.0675,humaneval,Score,num_semantic_units,Zero-Order,-0.9449491872362122,0.00012210510260447235,9,17,None
p30,0.0675,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9650871885346872,5.293823811671577e-95,N/A,N/A,None
p30,0.0675,xcodeeval_apr,Score,lm_cc,Partial,-0.38278274799506035,0.2749418661640362,10,26,loc
p30,0.0675,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9454545454545454,1.1183037701493194e-05,11,23,None
p30,0.0675,xcodeeval_apr,Score,num_semantic_units,Partial,-0.36421243827519084,0.2708218091533229,11,23,loc
p30,0.0675,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9333333333333332,0.00023589981215941651,9,30,None
p30,0.0675,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.8699604110602704,1.4166854750965072e-84,N/A,N/A,None
p30,0.0675,xcodeeval_code_translation,Score,lm_cc,Partial,-0.3181620178459117,0.37029668627019213,10,53,loc
p30,0.0675,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.9333333333333332,0.00023589981215941651,9,59,None
p30,0.0675,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.23548607202220928,0.48576321287714774,11,46,loc
p30,0.0675,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.7364081197050363,0.023655352808501486,9,59,None
p30,0.0675,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9640591049797935,5.55053022763525e-309,N/A,N/A,None
p35,0.0921,humaneval,Score,lm_cc,Partial,0.3354581903391394,0.3132107441180811,11,14,loc
p35,0.0921,humaneval,Score,lm_cc,Zero-Order,-0.9061153015566047,0.0007608463232733992,9,17,None
p35,0.0921,humaneval,Score,num_semantic_units,Partial,0.20166438638445122,0.5520904077259821,11,14,loc
p35,0.0921,humaneval,Score,num_semantic_units,Zero-Order,-0.9240588586495359,0.0003687215204148979,9,17,None
p35,0.0921,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9636660754433859,1.2174888166281197e-93,N/A,N/A,None
p35,0.0921,xcodeeval_apr,Score,lm_cc,Partial,-0.5571736117588217,0.09428693196793429,10,25,loc
p35,0.0921,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9666666666666667,2.1550312748357717e-05,9,29,None
p35,0.0921,xcodeeval_apr,Score,num_semantic_units,Partial,-0.4845430041436767,0.13093219230637804,11,24,loc
p35,0.0921,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9666666666666667,2.1550312748357717e-05,9,30,None
p35,0.0921,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.870538148981046,8.108476876882486e-85,N/A,N/A,None
p35,0.0921,xcodeeval_code_translation,Score,lm_cc,Partial,-0.2724887914809317,0.4462521427688636,10,53,loc
p35,0.0921,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.8954053273686237,0.001098525873588266,9,57,None
p35,0.0921,xcodeeval_code_translation,Score,num_semantic_units,Partial,0.11513689471618921,0.7680207602860993,9,57,loc
p35,0.0921,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.7333333333333334,0.024554150071469705,9,57,None
p35,0.0921,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9641807364663426,2.28610646022079e-309,N/A,N/A,None
p40,0.1244,humaneval,Score,lm_cc,Partial,0.3354581903391394,0.3132107441180811,11,14,loc
p40,0.1244,humaneval,Score,lm_cc,Zero-Order,-0.6624531543743247,0.05186692808075036,9,18,None
p40,0.1244,humaneval,Score,num_semantic_units,Partial,0.20166438638445122,0.5520904077259821,11,14,loc
p40,0.1244,humaneval,Score,num_semantic_units,Zero-Order,-0.8016949001982274,0.00936195366382765,9,17,None
p40,0.1244,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9626330236699979,1.1007622932079134e-92,N/A,N/A,None
p40,0.1244,xcodeeval_apr,Score,lm_cc,Partial,-0.7034567697380287,0.03447698719567855,9,30,loc
p40,0.1244,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9707197941566387,1.3744158988833828e-05,9,30,None
p40,0.1244,xcodeeval_apr,Score,num_semantic_units,Partial,-0.44484263119068296,0.17039030037036262,11,24,loc
p40,0.1244,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9333333333333332,0.00023589981215941651,9,29,None
p40,0.1244,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.8694593014660046,2.2936498643525176e-84,N/A,N/A,None
p40,0.1244,xcodeeval_code_translation,Score,lm_cc,Partial,-0.36452653966513776,0.30037607005345557,10,53,loc
p40,0.1244,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.8571468165888911,0.0015278398373375567,10,53,None
p40,0.1244,xcodeeval_code_translation,Score,num_semantic_units,Partial,0.1346881371127363,0.7297297740965455,9,54,loc
p40,0.1244,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.7999999999999999,0.009627924725379839,9,59,None
p40,0.1244,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9640557685927555,5.686996186261967e-309,N/A,N/A,None
p45,0.1691,humaneval,Score,lm_cc,Partial,0.25170784003433794,0.45527645859680077,11,14,loc
p45,0.1691,humaneval,Score,lm_cc,Zero-Order,-0.6483283661306748,0.058940202223639146,9,17,None
p45,0.1691,humaneval,Score,num_semantic_units,Partial,0.20166438638445122,0.5520904077259821,11,14,loc
p45,0.1691,humaneval,Score,num_semantic_units,Zero-Order,-0.8087806670128277,0.0046111333878507245,10,15,None
p45,0.1691,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9626964226276847,9.633622982175371e-93,N/A,N/A,None
p45,0.1691,xcodeeval_apr,Score,lm_cc,Partial,-0.6871733635091363,0.04083926775335792,9,30,loc
p45,0.1691,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9539832459815244,6.578871303553376e-05,9,30,None
p45,0.1691,xcodeeval_apr,Score,num_semantic_units,Partial,-0.40715286034810894,0.21392974794629163,11,23,loc
p45,0.1691,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.956722299914231,4.013025855932827e-06,11,24,None
p45,0.1691,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.8705278291414047,8.189892386058902e-85,N/A,N/A,None
p45,0.1691,xcodeeval_code_translation,Score,lm_cc,Partial,0.44239174468345893,0.17304023759083997,11,45,loc
p45,0.1691,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.8902604526458922,0.0005547038179406107,10,53,None
p45,0.1691,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.2188543893325118,0.5179288112963079,11,45,loc
p45,0.1691,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.8303030303030302,0.002940227023279509,10,52,None
p45,0.1691,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9635786955261525,1.7907620585702127e-307,N/A,N/A,None
p50,0.2327,humaneval,Score,lm_cc,Partial,0.2484850661559578,0.46126156954313113,11,14,loc
p50,0.2327,humaneval,Score,lm_cc,Zero-Order,-0.5859005966748803,0.0750968518661744,10,16,None
p50,0.2327,humaneval,Score,num_semantic_units,Partial,0.28975704954389275,0.3874277463389982,11,14,loc
p50,0.2327,humaneval,Score,num_semantic_units,Zero-Order,-0.7877855422677295,0.0068072826237872775,10,15,None
p50,0.2327,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9612503015671976,1.9065702396755924e-91,N/A,N/A,None
p50,0.2327,xcodeeval_apr,Score,lm_cc,Partial,-0.4032276773362405,0.2188081558675239,11,24,loc
p50,0.2327,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9500000000000001,8.762523965086185e-05,9,30,None
p50,0.2327,xcodeeval_apr,Score,num_semantic_units,Partial,-0.3000129808316434,0.3700613971245588,11,23,loc
p50,0.2327,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9363636363636365,2.2082076449177507e-05,11,23,None
p50,0.2327,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.8730104029645768,7.221263222072173e-86,N/A,N/A,None
p50,0.2327,xcodeeval_code_translation,Score,lm_cc,Partial,0.5607175859538899,0.07274988497226462,11,45,loc
p50,0.2327,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.8954053273686237,0.001098525873588266,9,59,None
p50,0.2327,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.38680945365005076,0.2399173805024481,11,45,loc
p50,0.2327,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.8833333333333333,0.0015905004234978695,9,55,None
p50,0.2327,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9641488784168912,2.88487973896252e-309,N/A,N/A,None
p55,0.3254,humaneval,Score,lm_cc,Partial,0.2484850661559578,0.46126156954313113,11,14,loc
p55,0.3254,humaneval,Score,lm_cc,Zero-Order,-0.6717917836219831,0.03337811280575475,10,16,None
p55,0.3254,humaneval,Score,num_semantic_units,Partial,0.29042930408746004,0.38627712013322196,11,14,loc
p55,0.3254,humaneval,Score,num_semantic_units,Zero-Order,-0.8200908605806085,0.006787532819243969,9,18,None
p55,0.3254,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9612634287563991,1.856553536395818e-91,N/A,N/A,None
p55,0.3254,xcodeeval_apr,Score,lm_cc,Partial,-0.7423557600231704,0.013933983574279035,10,26,loc
p55,0.3254,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9636363636363635,7.3209748095299185e-06,10,26,None
p55,0.3254,xcodeeval_apr,Score,num_semantic_units,Partial,-0.17443039726161372,0.6535402058553996,9,30,loc
p55,0.3254,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9833333333333333,1.936196303745927e-06,9,29,None
p55,0.3254,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.8818789094129437,7.969233355036037e-90,N/A,N/A,None
p55,0.3254,xcodeeval_code_translation,Score,lm_cc,Partial,0.32260031722871113,0.3332561750361753,11,46,loc
p55,0.3254,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.8424242424242423,0.002220031225916843,10,53,None
p55,0.3254,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.357941276758282,0.279776034934434,11,46,loc
p55,0.3254,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.8333333333333333,0.005265691029161747,9,59,None
p55,0.3254,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9639582509734025,1.1554707055871803e-308,N/A,N/A,None
p60,0.4536,humaneval,Score,lm_cc,Partial,0.1942869805275041,0.5670233160182166,11,14,loc
p60,0.4536,humaneval,Score,lm_cc,Zero-Order,-0.6539417034818892,0.05606043689006214,9,17,None
p60,0.4536,humaneval,Score,num_semantic_units,Partial,0.1906441609560302,0.5744549179148642,11,14,loc
p60,0.4536,humaneval,Score,num_semantic_units,Zero-Order,-0.7341837507078502,0.02430335250291143,9,17,None
p60,0.4536,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9584232573664129,4.763962780575726e-89,N/A,N/A,None
p60,0.4536,xcodeeval_apr,Score,lm_cc,Partial,-0.7039229926836341,0.03430501177227377,9,29,loc
p60,0.4536,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9205101496312953,0.0004311002241981674,9,30,None
p60,0.4536,xcodeeval_apr,Score,num_semantic_units,Partial,-0.21746017376870352,0.5206655380990813,11,23,loc
p60,0.4536,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9456149718939671,0.00011709145944109001,9,29,None
p60,0.4536,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.8951196910560969,2.2900688060865704e-96,N/A,N/A,None
p60,0.4536,xcodeeval_code_translation,Score,lm_cc,Partial,0.3350756704497818,0.3137974627577523,11,47,loc
p60,0.4536,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.8619322310183947,0.002805928967837708,9,57,None
p60,0.4536,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.28980786393419955,0.3873407128725426,11,47,loc
p60,0.4536,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.7061521737462181,0.015153739205332252,11,48,None
p60,0.4536,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9643160030254835,8.4938460339998e-310,N/A,N/A,None
p65,0.6154,humaneval,Score,lm_cc,Partial,0.3413874485855746,0.33433212058392225,10,16,loc
p65,0.6154,humaneval,Score,lm_cc,Zero-Order,-0.8766671826720518,0.0019189104820892264,9,18,None
p65,0.6154,humaneval,Score,num_semantic_units,Partial,-0.5998359743428607,0.0667821022692138,10,16,loc
p65,0.6154,humaneval,Score,num_semantic_units,Zero-Order,-0.7223460919122202,0.018300475648850595,10,15,None
p65,0.6154,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9587199427334369,2.718223176007772e-89,N/A,N/A,None
p65,0.6154,xcodeeval_apr,Score,lm_cc,Partial,-0.6749627048955554,0.04607548530966528,9,28,loc
p65,0.6154,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9,0.0009430623223403288,9,28,None
p65,0.6154,xcodeeval_apr,Score,num_semantic_units,Partial,-0.6259479764484122,0.039383792896307744,11,23,loc
p65,0.6154,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9166666666666666,0.0005066190663052083,9,30,None
p65,0.6154,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.9061882217947851,1.5135865373530917e-102,N/A,N/A,None
p65,0.6154,xcodeeval_code_translation,Score,lm_cc,Partial,0.23247853519981998,0.4915129661687417,11,46,loc
p65,0.6154,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.9,0.0009430623223403288,9,58,None
p65,0.6154,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.4818389965992277,0.1334146142524922,11,45,loc
p65,0.6154,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.7636363636363637,0.006233059747904754,11,48,None
p65,0.6154,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9646093116996561,9.7946385199497e-311,N/A,N/A,None
p67,0.6813,humaneval,Score,lm_cc,Partial,0.15862933716644967,0.6413171409777466,11,14,loc
p67,0.6813,humaneval,Score,lm_cc,Zero-Order,-0.8049011452709808,0.004971929395411909,10,16,None
p67,0.6813,humaneval,Score,num_semantic_units,Partial,-0.6267779208019301,0.052466638365970396,10,16,loc
p67,0.6813,humaneval,Score,num_semantic_units,Zero-Order,-0.9199049251009971,0.00044243009847864636,9,17,None
p67,0.6813,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9560912059553011,3.4174284700223874e-87,N/A,N/A,None
p67,0.6813,xcodeeval_apr,Score,lm_cc,Partial,-0.6521405955174383,0.05697449659739744,9,28,loc
p67,0.6813,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9166666666666666,0.0005066190663052083,9,28,None
p67,0.6813,xcodeeval_apr,Score,num_semantic_units,Partial,0.420237099704753,0.19813731556791475,11,24,loc
p67,0.6813,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9,0.0009430623223403288,9,30,None
p67,0.6813,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.9108997951540745,2.0513812017714687e-105,N/A,N/A,None
p67,0.6813,xcodeeval_code_translation,Score,lm_cc,Partial,0.2694079530401626,0.42305795078007913,11,45,loc
p67,0.6813,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.7212121212121211,0.01857315508946023,10,52,None
p67,0.6813,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.37410176757110447,0.25703395714237287,11,45,loc
p67,0.6813,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.754658036542014,0.011644872504617378,10,53,None
p67,0.6813,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9654898237475797,0.0,N/A,N/A,None
p70,0.7781,humaneval,Score,lm_cc,Partial,0.6058839296857862,0.06336952548040212,10,15,loc
p70,0.7781,humaneval,Score,lm_cc,Zero-Order,-0.6146817733412381,0.05861291320253257,10,16,None
p70,0.7781,humaneval,Score,num_semantic_units,Partial,0.2689308187156587,0.4524464099511217,10,15,loc
p70,0.7781,humaneval,Score,num_semantic_units,Zero-Order,-0.821909464719636,0.006562793218049063,9,18,None
p70,0.7781,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9802537322663976,1.5283502536654947e-114,N/A,N/A,None
p70,0.7781,xcodeeval_apr,Score,lm_cc,Partial,-0.6228922911790143,0.05439198141939573,10,25,loc
p70,0.7781,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.8833333333333333,0.0015905004234978695,9,29,None
p70,0.7781,xcodeeval_apr,Score,num_semantic_units,Partial,-0.24766708534632678,0.49025480167853597,10,26,loc
p70,0.7781,xcodeeval_apr,Score,num_semantic_units,Zero-Order,-0.9272727272727272,0.00011203450639397586,10,27,None
p70,0.7781,xcodeeval_apr,lm_cc,num_semantic_units,Zero-Order,0.9180807130294029,4.1640442284499193e-110,N/A,N/A,None
p70,0.7781,xcodeeval_code_translation,Score,lm_cc,Partial,0.3108479784546505,0.35215591375073135,11,45,loc
p70,0.7781,xcodeeval_code_translation,Score,lm_cc,Zero-Order,-0.790909090909091,0.003746082953397407,11,45,None
p70,0.7781,xcodeeval_code_translation,Score,num_semantic_units,Partial,-0.26040001115508454,0.4393151768858857,11,45,loc
p70,0.7781,xcodeeval_code_translation,Score,num_semantic_units,Zero-Order,-0.7999999999999999,0.009627924725379839,9,59,None
p70,0.7781,xcodeeval_code_translation,lm_cc,num_semantic_units,Zero-Order,0.9662874775371819,0.0,N/A,N/A,None
p75,0.9829,humaneval,Score,lm_cc,Partial,0.7982513694346745,0.0056365549671630565,10,15,loc
p75,0.9829,humaneval,Score,lm_cc,Zero-Order,-0.7071330730596603,0.03313603274295643,9,17,None
p75,0.9829,humaneval,Score,num_semantic_units,Partial,-0.5007486501597215,0.16972863337008015,9,17,loc
p75,0.9829,humaneval,Score,num_semantic_units,Zero-Order,-0.7899438584070567,0.011311537267943764,9,18,None
p75,0.9829,humaneval,lm_cc,num_semantic_units,Zero-Order,0.9792079302455081,9.106327365723297e-113,N/A,N/A,None
p75,0.9829,xcodeeval_apr,Score,lm_cc,Partial,-0.7754063084716145,0.014079500583528822,9,30,loc
p75,0.9829,xcodeeval_apr,Score,lm_cc,Zero-Order,-0.9456149718939671,0.00011709145944109001,9,30,None
